TERMS,DEFINITIONS
subduction,The process of one lithospheric plate descending beneath another.
subduction zone,"A long, narrow belt in which subduction takes place."
subhedral,A grain partly bounded by crystal faces; intermediate between euhedral and anhedral.
sublittoral,"Pertaining to the ocean environment or depth zone between low-tide level and 200 m (660 ft), or between low-tide level and approximately the edge of the continental shelf. Synonmous with “neritic.”"
submarine,Something situated or living under the surface of the sea.
submergence,"A rise of water level in relation to land, so that areas of formerly dry land become inundated; results from either a sinking of the land or rise of water level."
subparallel,Almost parallel.
subrounded,Said of a sedimentary particle showing considerable abrasion and an original general form that is still discernable; many of its edges and corners are considerable rounded off to smooth curves.
subsidence,The sudden sinking or gradual downward settling of part of Earth’s surface.
superposition,"The order in which rocks are placed or accumulated in beds one above the other; the highest bed is the younges. Also, the process by which successively younger sedimentary layers are deposited on lower and older layers."
supralittoral,Describes a feature or process at an elevation higher than normal tidal range on a given shoreface. Synonymous with “supratidal.”
sulfate,"A mineral group composed of sulfur (S) and oxygen (O) plus an element or elements, for example, calcium in anhydrite, CaSO4, and gypsum, CaSO4 • 2H2O; and barium in barite, BaSO4."
sulfide,"A mineral group composed of sulfur plus an element or elements, for example, lead in galena, PbS, and iron in pyrite, FeS2."
sump,"An excavated area in which drainage water is collected for subsequent use in irrigation or wild-fowl conservation. Also, a dialect term for a swamp or morass, and for a stagnant pool or puddle of dirty water."
surge channel,"A channel extending across the crest of a coral reef, in which water level fluctuates according to the height and arrival time of breakers. The in- and out-flow is normally vigorous and commonly extremely dangerous."
suture,The linear zone where two continental landmasses become joined via obduction.
swallow holes,Points along streams and in sinkholes where surface-water flow is lost to underground conduits.
syenite,"An intrusive igneous rock containing alkali feldspar, a small amount of plagioclase (less than in monzonite), one or more mafic minerals (especially amphibole), and little or no quartz. Unlike granite, syenite is an uncommon rock, and occurs as small intrusive bodies or dikes, and as quartz-poor borders of large granitic bodies."
syncline,A generally concave upward fold of which the core contains the stratigraphically younger rocks.
synclinorium,A composite synclinal structure of regional extent composed of lesser folds.
synorogenic,Describes a geologic process or event during a period of orogenic activity; also describes a rock or feature formed by such a process or event.
system (geology),"A group of related natural features, objects, or forces."
system (stratigraphy),The fundamental unit of chronostratigraphic classification of Phanerozoic rocks; each unit represents a time span and an episode of Earth history sufficiently great to serve as a worldwide reference unit. It is the temporal equivalent of a period.
tabular,Said of a feature having two dimensions that are much larger or longer than the third.
taiga,"A swampy area of coniferous forest, commonly between tundra and steppe regions."
talus,"Rock fragments, usually coarse and angular, lying at the base of a cliff or steep slope from which they have fallen."
tectonic,Describes a feature or process related to large-scale movement and deformation of Earth’s crust.
tectonics,The geologic study of the broad structural architecture and deformational processes of the lithosphere and asthenosphere.
tectonite,A rock whose fabric has been modified substantially by deformation processes.
tephra,"A collective term used for all pyroclastic material, regardless of size, shape, or origin, ejected into the air during a volcanic eruption."
terrace,"Any long, narrow, relatively level or gently inclined surface (i.e., a bench or steplike ledge) that is bounded along one edge by a steeper descending slope and along the other edge by a steeper ascending slope, thus breaking the continuity of the slope; commonly occurs along the margin and above the level of a body of water, marking a former water level."
terrane,"A fault-bounded body of rock of regional extent, characterized by a geologic history different from that of contiguous terranes or bounding continents."
terrestrial,"Describes a feature, process, or organism related to land, Earth, or its inhabitants."
terrigenous,Describes material or a feature derived from the land or a continent.
test,The shell or internal skeleton of many invertebrates.
thalweg,The line connecting the lowest/deepest points along a stream bed; the line of maximum depth.
theory,A hypothesis that has been rigorously tested against further observations or experiments; a generally accepted tenet of science.
thermal,Pertaining to or caused by heat.
thermal spring,A spring whose water temperature is appreciably higher than the local mean annual atmospheric temperature. A thermal spring may be a “hot spring” or a “warm spring.”
thermokarst topography,"An irregular land surface containing lakes, bogs, caverns, pits, and other small depressions formed in permafrost by the melting of ground ice."
tholeiite,"A volcanic rock, specifically a type of basalt characterized by the presence of orthopyroxene."
thrust fault,A dip-slip fault with a shallowly dipping (less than 45°) fault surface where the hanging wall moves up and over relative to the footwall.
tidal delta,A delta formed at the mouth of a tidal inlet on either the seaward or the lagoon side of a barrier island or baymouth bar by changing tidal currents that sweep sand in and out of the inlet.
tidal inlet,Any inlet through which water alternately floods landward with the rising tide and ebbs seaward with the falling tide; specifically a natural inlet maintained by tidal currents.
till,"Unstratified drift deposited directly by a glacier without reworking by meltwater and consisting of a mixture of clay, silt, sand, gravel, and boulders ranging widely in size and shape."
titanomagnetite,"A titaniferous variety of magnetite: (Fe3+, Fe2+, Ti4+)2[Fe2+O4]."
tonalite,An intrusive igneous rock composed primarily of quartz and plagioclase with 10% or less alkali feldspar.
tongue,"An extension, projection, or offshoot of a larger body of rock, commonly occurring as wedges that disappear away from the main body."
topography,"The general morphology of Earth’s surface, including relief and locations of natural and human-made features."
tourmaline,A silicate (silicon + oxygen) mineral of sodium and aluminum whose composition varies widely because of substitutions of elements; occurs as a semi-precious stone in a wide variety of colors.
trace (structural geology),"The intersection of a geological surface with another surface, for example, the trace of bedding on a fault surface, or the trace of a fault or outcrop on the ground."
trace fossil,"A fossilized feature such as a track, trail, burrow, or coprolite (dung), that preserves evidence of an organism’s life activities, rather than the organism itself. Compare to “body fossil.”"
trachyte,"A group of fine-grained, generally porphyritic, volcanic rocks containing alkali feldspar and minor mafic minerals."
transcurrent fault,A continental strike-slip fault that does not terminate at a lithospheric plate boundary.
transform fault,A strike-slip fault that links two other faults or plate boundaries such as two segments of a mid-ocean ridge.
transform plate boundary,"A type of plate boundary at which lithosphere is neither created nor destroyed, and plates slide past each other on a strike-slip fault."
transgression,Landward migration of the sea as a result of a relative rise in sea level.
transpression,A combination of crustal shortening and strike-slip movement.
transpressional fault,A strike-slip fault across which shortening occurs.
transtension,A combination of extension and strike-slip faulting.
transverse,"Said of an entity that is extended in a crosswise direction, especially of a topographic feature that is oriented at right angles to the grain or general strike of a region."
transverse dune,"A dune that is elongated perpendicular to the prevailing wind direction; the leeward slope stands at or near the angle of repose of sand, whereas the windward slope is comparatively gentle."
travertine,"A chemical sedimentary rock composed of precipitated calcium carbonate (predominantly calcite and aragonite) from spring-fed, heated and/or ambient-temperature waters. The spongy or less compact variety is tufa."
tree mold,"A cylindrical hollow in a lava flow formed by the envelopment of a tree by the flow, solidification of the lava in contact with the tree, and disappearance of the tree by burning and subsequent removal of the charcoal and ash. The inside of the mold preserves the surficial features of the tree."
tremolite,"A white to dark-gray silicate (silicon + oxygen) mineral of the amphibole group, Ca2(Mg,Fe)5Si8O22(OH)2, with varying amounts of iron and may contain manganese and chromium; characterized by prismatic crystals."
trend,"The direction or bearing of an outcrop of a geologic feature such as an ore body, fold, or orogenic belt."
trilobite,"Any marine arthropod belonging to the class Trilobita, characterized by a three-lobed ovoid outer skeleton, divided lengthwise into axial and side regions and transversely into cephalon (“head”), thorax (middle), and pygidium (“tail”). Range: Lower Cambrian to Permian."
trondhjemite,"A light-colored, intrusive igneous rock composed mostly of plagioclase feldpar, quartz, sparse biotite, and little or no alkali feldspar."
tufa,"A chemical sedimentary rock composed of calcium carbonate, formed by evaporation commonly as an incrustation around the mouth of a spring, along a stream, or less commonly as a thick, concretionary deposit in a lake or along its shore. It may also be precipitated by algae or bacteria. The hard, dense variety of travertine."
tuff,Consolidated or cemented volcanic ash and lapilli.
tuffaceous,"Describes non-volcanic, clastic sediments that contain ash-size pyroclasts."
tumulus,"A dome or small mound on the crust of a lava flow, caused by pressure due to the difference in the rate of flow between the cooler lava crust and the more fluid underlying lava."
turbidite,"Sediment or rock deposited from a turbidity current (underwater flow of sediment) and characterized by graded bedding, moderate sorting, and well-developed primary structures in the sequence noted by the Bouma cycle."
twilight zone,The part of a cave where daylight penetrates and gradually diminishes to zero light.
type area,The geographic area or region that encompasses the stratotype or type locality of a stratigraphic unit or stratigraphic boundary.
type locality,"The place where a geologic feature such as an ore occurrence, a particular kind of igneous rock, or the type specimen of a fossil species was first recognized and described."
type section,The originally described sequence of strata that constitute a stratigraphic unit. It serves as an objective standard with which spatially separated parts of the unit may be compared. It is preferably in an area where the unit shows maximum thickness and is completely exposed (or at least shows top and bottom).
ultramafic,Describes an intrusive igneous rock primarily composed of mafic minerals.
unconfined groundwater,Groundwater that has a water table; water not confined under pressure beneath a confining bed.
unconformable,"Describes strata that do not succeed the underlying rocks in immediate order of age or in parallel position, especially younger strata that do not have the same dip and strike as the underlying rocks. Also, describes the contact between unconformable rocks."
unconformability,"The quality, state, or condition of being unconformable, such as the relationship of unconformable strata."
unconformity,"A substantial break or gap in the geologic record where a rock unit is overlain by another that is not next in stratigraphic succession, resulting from either a change that caused deposition to cease for a considerable span of time or erosion with loss of the previously formed record."
undercutting,"The removal of material at the base of a steep slope by the erosive action of water (such as a meandering stream), sand-laden wind in a desert, or waves along a coast."
underfit stream,"A stream that appears to be too small to have eroded the valley in which it flows. Also, a stream whose volume is greatly reduced or whose meanders show a pronounced shrinkage in radius."
uniformitarianism,"The assumption that “the geological forces of the past differ neither in kind nor in energy from those now in operation,” which was the basis advocated by Charles Lyell for interpreting past phenomena by analogy with modern ones. Thus the cliché, “the present is the key to the past.”"
unsaturated zone,"A subsurface zone between the land surface and the water table that includes air, gases, and water held by capillary action. Synonymous with “vadose zone” and “zone of aeration.”"
uplift,A structurally high area in Earth’s crust produced by movement that raises the rocks.
upper flow regime,A condition of stream flow that is characterized by a unidirectional current and relatively high sediment transport rates.
upwarping,"Upward flexing of Earth’s crust on a regional scale as a result of the removal of ice, water, sediments, or lava flows."
vadose,"Refers to the unsaturated zone between the land surface and the water table that includes air, gases, and water held by capillary action."
vadose water,Water of the unsaturated zone.
vapor-phase crystallization,"The crystallization of minerals from hot gases escaping through a volcanic body. Cooling of the escaping gases, which carry elements in solution, promotes the crystallization of mineral in rock cavities."
varve,"Any cyclic, genetically related paired sedimentary layer, generally occurring in a repeating series, such as seasonally deposited glacial varves, but also laminated nonglacial shales, evaporites, and other sediments."
varve (glacial),"A sedimentary layer deposited in a body of still water within one year’s time, specifically a thin pair of graded glaciolacustrine layers seasonally deposited, usually by meltwater streams into a glacial lake or other body of still water in front of a glacier."
vent,Any opening at Earth’s surface through which magma erupts or volcanic gases are emitted.
vesicle,A cavity of variable shape formed by the entrapment of a gas bubble during solidification of lava.
vesicular,"Describes the texture of a rock, especially lava, characterized by abundant vesicles formed as a result of the expansion of gases during the fluid stage of the lava."
viscosity,The property of a substance to offer internal resistance to flow.
vitreous,Having the luster and appearance of glass.
vitreous luster,Luster that resembles glass. Synonymous to “glassy.”
vitric,Describes pyroclastic material that is characteristically glassy.
vitrophyre,Any porphyritic igneous rock with a glassy groundmass.
volatile,Readily vaporizable.
volatile component,"Material in magma, such as water or carbon dioxide, whose vapor pressures is sufficiently high to be concentrated as a gas."
volcanic,"Pertaining to the activities, structures, or rock types of a volcano. A synonym of extrusive."
volcanic arc,A large-scale (hundreds of kilometers) generally curved belt of volcanoes above a subduction zone.
volcanic exhalation,An emission of gas or ash from a vent in a relatively short burst.
volcaniclastic,"Pertaining to all clastic volcanic materials formed by any process of fragmentation, dispersed by any kind of transporting agent, deposited in any environment, or mixed in any significant portion with nonvolcanic fragments."
volcanogenic,Formed by processes directly connected with volcanism.
volcanism,The processes by which magma and its associated gases rise into Earth’s crust and are extruded onto the surface and into the atmosphere.
vug,"A small cavity in rock, commonly lined with crystals of a different mineral composition from the enclosing rock."
warm spring,"A thermal spring whose temperature is appreciably above the local mean annual atmospheric temperature, but below that of the human body."
wash,"A broad, gravelly, dry stream bed, generally in the bottom of a canyon that is periodically swept by a torrent of water. The term is used especially in the southwestern United States."
water table,The surface between the saturated zone and the unsaturated zone. Synonymous with “groundwater table” and “water level.”
wave base,"The depth at which wave activity no longer stirs up sediments, usually at about 10 to 20 m (30 to 70 ft) below water level."
wave-cut bench,"A level or gently sloping narrow surface or platform produced by wave erosion, extending outward from above the base of the wave-cut cliff and occupying all of the shore zone and part or all of the surface."
weathering,"The physical, chemical, and biological processes by which rock is broken down, particularly at Earth’s surface."
welded tuff,"A glass-rich pyroclastic rock that has been indurated by the welding together of glass shards under the combined action of the heat retained by the particles, the weight of overlying material, and hot gases. Cinders and bombs may also be welded together to form solid outcrops of rock."
welding,"Consolidation of sediments under pressure. Also, the diagenetic process whereby discrete crystals and/or grains become attached to each other during compaction."
wildcat well,An exploratory well drilled for oil or gas on a geologic feature not yet proven to be productive.
wind tide,"The part of the tide produced by wind, rather than astronomical forces; specifically the change in water level as a result of wind moving across the surface."
Wisconsinan,"Pertaining to the classical fourth glacial stage of the Pleistocene Epoch in North America, following the Sangamonian interglacial stage and preceding the Holocene Epoch."
xenocryst,A crystal that resembles a phenocryst in igneous rock but is foreign to the body of rock in which it occurs.
xenolith,"A rock particle, formed elsewhere, entrained in magma as an inclusion."
yazoo,"A tributary that is parallel to the main stream channel for a considerable distance before joining it, especially a stream forced to flow along the outer base of a natural levee formed by the main stream. The type example is the Yazoo River in western Mississippi, joining the Mississippi River at Vicksburg."
zeolite,"A group of silicate (silicon + oxygen) minerals that commonly occur as well-formed crystals in the cavities of mafic igneous rocks, particularly basalt."
zircon,"A very durable silicate mineral (silicon + oxygen), ZrSiO4. When cut and polished, the colorless variety provides exceptionally brilliant gemstones."
